"staSeq","locationName","locationDescription","locationType","ylat","xlong","sourceMapScale","horizCollectMethod","horizRefDatum","stateCd","munName","subBasin","adbSegID","hydroID","createDate","createUser","lastUpdateDate","lastUpdateUser"
17253,"D3","Eatons Neck Point","Estuary",40.993833,-73.411333,24000,"GPS-Unspecified","NAD83","CT","NORWALK",0,"CT-W4_004","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
17232,"20","Port Jefferson","Estuary",40.994,-73.042333,24000,"GPS-Unspecified","NAD83","NY","BROOKHAVEN, NY",0,"NULL","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
14645,"Long Island Sound","South of Bouy #34 off Greenwich point","Estuary",41.0004,-73.5661,24000,"Interpolation-Map","NAD83","CT","GREENWICH",7000,"UNKNOWN","","2000-04-18 00:00:00","Unknown","2010-03-12 00:00:00","BeaucheneM"
14644,"Long Island Sound","North of Bouy #34 off Greenwich point","Estuary",41.0006,-73.5698,24000,"Interpolation-Map","NAD83","CT","GREENWICH",7000,"UNKNOWN","","2000-04-18 00:00:00","Unknown","2010-03-12 00:00:00","BeaucheneM"
14643,"Captain Harbor/LIS","west of Flat Neck Point","Estuary",41.0017,-73.5918,24000,"Interpolation-Map","NAD83","CT","GREENWICH",7000,"UNKNOWN","","2000-04-18 00:00:00","Unknown","2010-03-12 00:00:00","BeaucheneM"
17244,"33","Roanoke Point","Estuary",41.003833,-72.651167,24000,"GPS-Unspecified","NAD83","NY","RIVERHEAD, NY",0,"NULL","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
17242,"31","Northville","Estuary",41.004167,-72.768333,24000,"GPS-Unspecified","NAD83","NY","RIVERHEAD, NY",0,"NULL","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
14647,"Greenwich Harbor/LIS","East of Round Island Near bouys","Estuary",41.0092,-73.6232,24000,"Interpolation-Map","NAD83","CT","GREENWICH",7000,"UNKNOWN","","2000-04-18 00:00:00","Unknown","2010-03-12 00:00:00","BeaucheneM"
17221,"05","Shippan Point, Stamford","Estuary",41.009333,-73.513667,24000,"GPS-Unspecified","NAD83","CT","STAMFORD",0,"CT-W3_011","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
14648,"Long Island Sound","Southeast Breakwater at entrance to Stamford Harbor","Estuary",41.0107,-73.5348,24000,"Interpolation-Map","NAD83","CT","STAMFORD",7000,"UNKNOWN","","2000-04-18 00:00:00","Unknown","2010-03-12 00:00:00","BeaucheneM"
20143,"LIS Trawl 00-22","Eastern LIS - NY","Estuary",41.012,-72.83857,0,"Interpolation-Satellite","WGS84","CT","Unknown",0,"","","2018-12-12 14:48:00","LallyMe","2021-11-17 18:20:50","BeckerM"
20566,"New City Brook","DS New City Road","River/Stream",41.012496,-72.227206,0,"Interpolation-Satellite","WGS84","CT","STAFFORD",3103,"","","2021-07-21 10:55:00","EltzB","2021-11-17 18:20:50","BeckerM"
14642,"Greenwich Cove/LIS","Northeast side Greenwich Island","Estuary",41.0128,-73.5766,24000,"Interpolation-Map","NAD83","CT","GREENWICH",7000,"UNKNOWN","","2000-04-18 00:00:00","Unknown","2010-03-12 00:00:00","BeaucheneM"
14646,"Stamford Harbor/LIS","south of entrance to harbor/breakwater","Estuary",41.0143,-73.5366,24000,"Interpolation-Map","NAD83","CT","STAMFORD",7000,"UNKNOWN","","2000-04-18 00:00:00","Unknown","2010-03-12 00:00:00","BeaucheneM"
17258,"F3","Crane Neck, NY","Estuary",41.017833,-73.1445,24000,"GPS-Unspecified","NAD83","NY","BROOKHAVEN, NY",0,"NULL","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
17255,"E1","Nissequogue River Entrance","Estuary",41.019333,-73.291333,24000,"GPS-Unspecified","NAD83","CT","WESTPORT",0,"CT-W4_002","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
16145,"Horseneck Brook","at Bridge Street, Idlewild, and Prospect Streets","River/Stream",41.022,-73.6328,24000,"Interpolation-Map","NAD83","CT","GREENWICH",7409,"CT7409-00_01","","2007-05-16 00:00:00","Unknown","2010-03-12 00:00:00","BeaucheneM"
14651,"Stamford Harbor","at Bouy #9 in Stamford Harbor","Estuary",41.0226,-73.5366,24000,"Interpolation-Map","NAD83","CT","STAMFORD",7000,"UNKNOWN","","2000-04-18 00:00:00","Unknown","2010-03-12 00:00:00","BeaucheneM"
14834,"Long Island Sound","Western","Estuary",41.0245,-73.3886,24000,"Interpolation-Map","NAD83","CT","Unknown",0,"Undetermined","","2002-03-27 00:00:00","BeaucheneM","2010-03-12 00:00:00","BeaucheneM"
17261,"H6","Herod Point","Estuary",41.026,-72.9135,24000,"GPS-Unspecified","NAD83","NY","BROOKHAVEN, NY",0,"NULL","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
19026,"Horseneck Brook","Upstream Rte 1, behind #177 Putnam Ave","River/Stream",41.027382,-73.633868,0,"Interpolation-Satellite","WGS84","CT","GREENWICH",7409,"CT7409-00_01","102000157","2016-05-17 12:16:00","LallyMe","2021-11-17 18:20:50","BeckerM"
16002,"Pemberwick Brook","at Comley Drive and Pemberwick Road","River/Stream",41.0274,-73.661,24000,"Interpolation-Map","NAD83","CT","GREENWICH",7411,"CT7411-09_01","102000177","2006-07-27 00:00:00","BeaucheneM","2021-10-05 14:34:45","BeckerM"
14150,"Byram River","downstream Comley Avenue","River/Stream",41.0276,-73.6621,24000,"GPS-Unspecified","NAD83","CT","GREENWICH",7411,"CT7411-00_01","102000175","1999-03-02 00:00:00","Unknown","2021-10-05 14:34:45","BeckerM"
18939,"Horseneck Brook","US of Valley Rd","River/Stream",41.030432,-73.640064,0,"Interpolation-Satellite","WGS84","CT","GREENWICH",7409,"","","2015-10-21 11:28:00","HagstromN","2015-10-21 11:27:00","HagstromN"
16753,"Horseneck Brook","Below Driveway for Eaglehill School","River/Stream",41.0319,-73.6417,24000,"Unknown","NAD83","CT","GREENWICH",7409,"CT7409-00_01","102000183","2009-01-12 00:00:00","BeaucheneM","2021-12-27 17:18:19","BeckerM"
16910,"No Name (Binney Park)","75 M N of RR tracks","River/Stream",41.0325,-73.5719,24000,"Unknown","NAD83","CT","GREENWICH",7000,"Needs","","2009-01-12 00:00:00","BeaucheneM","2021-12-21 14:17:00","BeckerM"
14650,"Long Island Sound","Southwest Long Neck Point","Estuary",41.0355,-73.4864,24000,"Interpolation-Map","NAD83","CT","STAMFORD",7000,"UNKNOWN","","2000-04-18 00:00:00","Unknown","2010-03-12 00:00:00","BeaucheneM"
15829,"Stamford Hurricane Barrier","STAMFORD HURRICANE BARRIER AT STAMFORD","Estuary",41.0369,-73.5347,24000,"Interpolation-Map","NAD83","CT","STAMFORD",7000,"UNKNOWN","","2005-12-12 00:00:00","BeaucheneM","2021-12-21 14:17:00","BeckerM"
14649,"Cove Harbor","Outside Cove Harbor entrance","Estuary",41.0406,-73.4955,24000,"Interpolation-Map","NAD83","CT","STAMFORD",7000,"UNKNOWN","","2000-04-18 00:00:00","Unknown","2010-03-12 00:00:00","BeaucheneM"
17224,"08","Huntington Bay","Estuary",41.040833,-73.418,24000,"GPS-Unspecified","NAD83","NY","HUNTINGTON, NY",0,"CT-W3_007","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
15233,"Greenwich Creek, tributary to","Near High School","River/Stream",41.0414,-73.6147,24000,"Interpolation-Map","NAD83","CT","GREENWICH",7408,"NOSEG","","2003-09-22 00:00:00","BeaucheneM","2010-03-12 00:00:00","BeaucheneM"
18938,"Byram River","under Bailwick Rd","River/Stream",41.046332,-73.662624,0,"Interpolation-Satellite","WGS84","CT","GREENWICH",7411,"","","2015-10-21 11:23:00","HagstromN","2015-10-21 11:23:00","HagstromN"
15389,"Byram River","upstream of Bailiwick Road behind Covenant of Sacred Heart School","River/Stream",41.0464,-73.6625,24000,"Interpolation-Map","NAD83","CT","GREENWICH",7411,"CT7411-00_02","102000211","2004-01-02 00:00:00","Unknown","2021-10-05 14:34:45","BeckerM"
16707,"Greenwich Creek","US Deadend road for skating rink","River/Stream",41.0467,-73.6119,24000,"Unknown","NAD83","CT","GREENWICH",7408,"Needs","102000186","2009-01-12 00:00:00","BeaucheneM","2021-12-21 14:17:00","BeckerM"
20138,"LIS Trawl 03-28","Eastern LIS - NY","Estuary",41.0486,-72.64445,0,"Interpolation-Satellite","WGS84","CT","Unknown",0,"","","2018-12-12 14:38:00","LallyMe","2021-11-17 18:20:50","BeckerM"
19342,"Mianus Pond","center of lake","Riverine Impoundment",41.05,-73.586,0,"Interpolation-Satellite","WGS84","CT","GREENWICH",7407,"","","2016-11-28 11:20:00","BeaucheneM","2021-11-17 18:20:50","BeckerM"
18494,"Rippowam River (Mill River)","US Main Street, within Mill River Park","River/Stream",41.053907,-73.545591,0,"Interpolation-Map","NAD83","CT","STAMFORD",7405,"","102000198","2013-09-30 12:52:00","LallyMe","2021-10-05 14:34:45","BeckerM"
17231,"19","Stratford / Port Jefferson","Estuary",41.055333,-73.080833,24000,"GPS-Unspecified","NAD83","NY","BROOKHAVEN, NY",0,"NULL","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
17227,"13","Black Rock Harbor Entrance","Estuary",41.058333,-73.234333,24000,"GPS-Unspecified","NAD83","CT","FAIRFIELD",0,"CT-W4_002","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
15110,"Rippowam River","Adjacent to south parking lot at school","River/Stream",41.0604,-73.5464,24000,"Interpolation-Map","NAD83","CT","STAMFORD",7405,"CT7405-00_01","","2003-09-22 00:00:00","BeaucheneM","2010-03-12 00:00:00","BeaucheneM"
17768,"Byram River","at Sherwood Avenue","River/Stream",41.060895,-73.677529,0,"Interpolation-Satellite","WGS84","CT","GREENWICH",7411,"","102000261","2012-02-29 11:18:00","BeaucheneM","2021-11-17 18:20:50","BeckerM"
16146,"East Branch Byram River","under  Route 15 adjacent to Riverville Road","River/Stream",41.0612,-73.6748,24000,"Interpolation-Map","NAD83","CT","GREENWICH",7410,"CT7410-00_01","102000254","2007-05-16 00:00:00","Unknown","2021-10-05 14:34:45","BeckerM"
20140,"LIS Trawl 01-28","Eastern LIS - NY","Estuary",41.06203,-72.49875,0,"Interpolation-Satellite","WGS84","CT","Unknown",0,"","","2018-12-12 14:41:00","LallyMe","2021-11-17 18:20:50","BeckerM"
19546,"Noroton River","AT I-95","River/Stream",41.06349,-73.508834,0,"Interpolation-Satellite","WGS84","CT","STAMFORD",7403,"","","2017-02-16 11:07:00","HagstromN","2017-02-16 11:08:00","HagstromN"
19495,"Mianus River","Parallel to River Rd below Filtration plant dam","River/Stream",41.064169,-73.579285,0,"Interpolation-Satellite","WGS84","CT","GREENWICH",7407,"7407.0","102000239","2017-01-31 11:05:00","HagstromN","2021-10-05 14:34:45","BeckerM"
16621,"East Branch Byram River","Below Pond at Boy Scout Camp","River/Stream",41.0656,-73.6733,24000,"Unknown","NAD83","CT","GREENWICH",7410,"CT7410-00_01","","2009-01-12 00:00:00","BeaucheneM","2021-12-21 14:17:00","BeckerM"
14432,"Rippowam River","downstream Bridge Street in Woodside Park","River/Stream",41.0661,-73.5484,24000,"GPS-Unspecified","NAD83","CT","STAMFORD",7405,"CT7405-00_01","","1999-03-02 00:00:00","Unknown","2010-03-12 00:00:00","BeaucheneM"
19597,"Rippowam River","AT STAMFORD (Upstream Bridge Street)","River/Stream",41.066111,-73.54927,0,"Interpolation-Satellite","WGS84","CT","STAMFORD",7405,"7405.0","102000017","2017-04-19 11:28:00","LallyMe","2021-12-21 14:17:00","BeckerM"
19699,"Rippowam River","Behind Candelight Terrace condos (#154 Cold Spring Rd)","River/Stream",41.066398,-73.55384,0,"Interpolation-Satellite","WGS84","CT","STAMFORD",7405,"CT7405-00_01","102000017","2017-05-25 15:13:00","LallyMe","2021-10-05 14:34:45","BeckerM"
20049,"Byram River","Between Fairview Country Club and Hycliff Road (Audubon property)","River/Stream",41.0704,-73.6857,0,"Interpolation-Satellite","WGS84","CT","GREENWICH",7411,"CT7411-00_02","102000261","2018-04-23 14:56:00","LallyMe","2021-12-27 17:18:18","BeckerM"
17254,"09","Saugatuck River Entrance","Estuary",41.070833,-73.336167,24000,"GPS-Unspecified","NAD83","CT","WESTPORT",0,"CT-W3_006","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
17720,"Fivemile River","at Cudlipp Street","Estuary",41.073114,-73.447589,0,"Interpolation-Satellite","WGS84","CT","DARIEN",7401,"","","2011-11-17 10:47:00","BeaucheneM","2015-11-12 10:43:00","Unknown"
14356,"Noroton River","downstream Middlesex Road","River/Stream",41.0753,-73.5155,24000,"GPS-Unspecified","NAD83","CT","STAMFORD",7403,"CT7403-00_01","","1999-03-02 00:00:00","Unknown","2010-03-12 00:00:00","BeaucheneM"
18896,"Converse Pond Brook","Upstream of Merritt Prkwy","River/Stream",41.075327,-73.669271,0,"Interpolation-Satellite","WGS84","CT","GREENWICH",7410,"","102000331","2015-07-22 07:12:00","HagstromN","2021-10-05 14:34:45","BeckerM"
20139,"LIS Trawl 04-30","Eastern LIS - NY","Estuary",41.07608,-72.54045,0,"Interpolation-Satellite","WGS84","CT","Unknown",0,"","","2018-12-12 14:40:00","LallyMe","2021-11-17 18:20:50","BeckerM"
16698,"Goodwives River","Below Grannaston Lane","River/Stream",41.0761,-73.4669,24000,"Unknown","NAD83","CT","DARIEN",7402,"Needs","102000258","2009-01-12 00:00:00","BeaucheneM","2021-12-21 14:17:00","BeckerM"
17239,"28","Branford Harbor","Estuary",41.078167,-72.8335,24000,"GPS-Unspecified","NAD83","CT","BRANFORD",0,"NULL","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
20645,"East Branch Converse Pond Brook","400 ft downstream of Porchuck Road","River/Stream",41.079014,-73.676938,0,"Interpolation-Digital Map Source","WGS84","CT","Greenwich",7410,"","","2021-12-30 12:31:15","LallyMe","2021-12-30 12:31:15","LallyMe"
17257,"F2","Bridgeport","Estuary",41.080333,-73.165333,24000,"GPS-Unspecified","NAD83","CT","STRATFORD",0,"CT-W4_001","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
14293,"Mianus River","upstream Merribrook Lane","River/Stream",41.0806,-73.5812,24000,"GPS-Unspecified","NAD83","CT","STAMFORD",7407,"CT7407-00_02","102000324","1999-03-02 00:00:00","Unknown","2021-10-05 14:34:45","BeckerM"
16586,"Converse Pond Brook","Parallel to Merritt Parkway west of exit 28","River/Stream",41.0819,-73.6656,24000,"Unknown","NAD83","CT","GREENWICH",7410,"CT7410-02_01","","2009-01-12 00:00:00","BeaucheneM","2021-12-21 14:17:00","BeckerM"
17234,"22","Milford Harbor","Estuary",41.082333,-73.022833,24000,"GPS-Unspecified","NAD83","CT","MILFORD",0,"CT-C4_005","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
17310,"Horseneck Brook","below Putnum lake 20' downstream of small pump? Building","River/Stream",41.0831,-73.6403,24000,"Interpolation-Map","NAD83","CT","GREENWICH",7409,"Needs","","2009-09-21 00:00:00","GatterEvartsR","2010-03-12 00:00:00","BeaucheneM"
17083,"Stony Brook","Above High School Lane at Darien Methodist Church","River/Stream",41.0839,-73.4878,24000,"Unknown","NAD83","CT","DARIEN",7402,"Needs","102000356","2009-01-12 00:00:00","BeaucheneM","2021-12-21 14:17:00","BeckerM"
18940,"Rockwood Lake Brook","DS of Taconic Road","River/Stream",41.085105,-73.623437,0,"Interpolation-Satellite","WGS84","CT","GREENWICH",7408,"CT7408-02_01","","2015-10-21 11:37:00","HagstromN","2021-10-05 14:37:22","BeckerM"
18944,"Cummings Brook","adj to Royale Rd","River/Stream",41.08594,-73.476216,0,"Interpolation-Satellite","WGS84","CT","DARIEN",7402,"","","2015-10-21 12:14:00","HagstromN","2015-10-21 12:14:00","HagstromN"
18967,"Byram River, Unnamed Tributary to (""Sutton's Brook"")","900ft Southeast of Audubon Lane culdesac","River/Stream",41.086034,-73.70111,0,"Interpolation-Satellite","WGS84","CT","GREENWICH",7411,"","102000384","2015-11-30 11:57:00","LallyMe","2021-10-05 14:34:45","BeckerM"
17308,"Aquarion  DSN 101","Lagoon closest to settling tanks Lagoon discharge 1","Wetland Undifferentiated",41.0871,-73.6379,24000,"Interpolation-Map","NAD83","CT","GREENWICH",7409,"INTO_CT****","","2009-09-21 00:00:00","GatterEvartsR","2010-03-12 00:00:00","BeaucheneM"
17309,"Aquarion Putnum lake","second lagoon discharge","Wetland Undifferentiated",41.0876,-73.6377,24000,"Interpolation-Map","NAD83","CT","GREENWICH",7409,"Needs","","2009-09-21 00:00:00","GatterEvartsR","2010-03-12 00:00:00","BeaucheneM"
16662,"Fivemile River","US King Highway","River/Stream",41.0878,-73.4522,24000,"Unknown","NAD83","CT","NORWALK",7401,"Needs","","2009-01-12 00:00:00","BeaucheneM","2021-12-21 14:17:00","BeckerM"
17719,"Fivemile River","at Flax Hill Road and Shady brook Lane","River/Stream",41.088136,-73.450741,0,"Interpolation-Satellite","WGS84","CT","NEW CANAAN",7401,"","","2011-11-17 10:44:00","BeaucheneM","2011-11-17 10:44:00","BeaucheneM"
17012,"Rockwood Lake outflow; downstream of Rte 15","Below Rte 15","River/Stream",41.0886,-73.6272,24000,"Unknown","NAD83","CT","GREENWICH",7408,"CT7408-02_01","102000393","2009-01-12 00:00:00","BeaucheneM","2021-10-05 14:37:22","BeckerM"
14358,"Noroton River","Behind St. John's Cemetary","River/Stream",41.0898,-73.5152,24000,"GPS-Unspecified","NAD83","CT","STAMFORD",7403,"CT7403-00_02","102000434","1999-03-02 00:00:00","Unknown","2021-10-05 14:34:45","BeckerM"
19355,"Putnam Lake","center of lake","Reservoir",41.09,-73.639,0,"Interpolation-Satellite","WGS84","CT","GREENWICH",7409,"","","2016-11-28 11:46:00","BeaucheneM","2021-11-17 18:20:50","BeckerM"
17718,"Keelers Brook","at Primrose Court","River/Stream",41.090777,-73.440977,0,"Interpolation-Satellite","WGS84","CT","NORWALK",7401,"CT7401-06_01","102000413","2011-11-17 10:41:00","BeaucheneM","2021-10-05 14:34:45","BeckerM"
15111,"Rippowam River","Adjacent to Pine Hill School","River/Stream",41.0919,-73.5597,24000,"Interpolation-Map","NAD83","CT","STAMFORD",7405,"CT7405-00_01","102000400","2003-09-22 00:00:00","BeaucheneM","2021-10-05 14:34:45","BeckerM"
16788,"Keeler Brook","Above Flax Hill Rd","River/Stream",41.092,-73.4397,24000,"Unknown","NAD83","CT","NORWALK",7401,"CT7401-06_01","102000413","2009-01-12 00:00:00","BeaucheneM","2021-12-21 14:17:00","BeckerM"
14292,"Mianus River","Old Mill Road","River/Stream",41.0934,-73.5857,24000,"GPS-Unspecified","NAD83","CT","STAMFORD",7407,"CT7407-00_02","","1999-03-02 00:00:00","Unknown","2010-03-12 00:00:00","BeaucheneM"
14149,"Byram River","downstream Bedford Road","River/Stream",41.094506,-73.704449,24000,"GPS-Unspecified","NAD83","CT","GREENWICH",7411,"CT7411-00_02","102000477","1999-03-02 00:00:00","Unknown","2021-10-05 14:34:45","BeckerM"
14357,"Noroton River","upstream Camp Avenue","River/Stream",41.0954,-73.5143,24000,"GPS-Unspecified","NAD83","CT","STAMFORD",7403,"CT7403-00_02","","1999-03-02 00:00:00","Unknown","2010-03-12 00:00:00","BeaucheneM"
17246,"J4","Horton Neck","Estuary",41.0975,-72.45,24000,"GPS-Unspecified","NAD83","NY","SOUTHOLD, NY",0,"NULL","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
14851,"East Branch Byram River","downstream John Street","River/Stream",41.0983,-73.6817,24000,"GPS-Unspecified","NAD83","CT","GREENWICH",7410,"CT7410-00_02","","2002-04-25 00:00:00","Unknown","2010-03-12 00:00:00","BeaucheneM"
18142,"Keeler Brook","at Rampart Road","River/Stream",41.09926,-73.442385,24000,"Interpolation-Satellite","NAD83","CT","NORWALK",7401,"Needs","","2012-03-16 00:00:00","BeaucheneM","2021-11-17 18:20:50","BeckerM"
15239,"East Branch Byram River","upstream John Street (Audubon property)","River/Stream",41.0995,-73.6832,24000,"Interpolation-Map","NAD83","CT","GREENWICH",7410,"CT7410-00_02","102000513","2002-10-15 00:00:00","BeaucheneM","2021-10-05 14:34:45","BeckerM"
16275,"Converse Pond Brook","approximately 0.5 miles upstream Cherry Valley Road","River/Stream",41.1001,-73.655,24000,"Interpolation-Map","NAD83","CT","GREENWICH",7410,"CT7410-02_03","102000514","2008-01-25 00:00:00","BeaucheneM","2021-10-05 14:34:45","BeckerM"
17717,"Fivemile River","at West Cedar Street and Beechwood Road","River/Stream",41.100452,-73.454333,0,"Interpolation-Satellite","WGS84","CT","NORWALK",7401,"","","2011-11-17 10:37:00","BeaucheneM","2015-11-12 11:26:00","Unknown"
17260,"H4","New Haven Harbor Entrance","Estuary",41.101667,-72.934,24000,"GPS-Unspecified","NAD83","CT","WEST HAVEN",0,"CT-C4_004","","2009-01-14 00:00:00","LymanM","2021-07-09 11:02:00","LymanM"
19073,"Saugatuck Harbor 02","offshore, Harbor proper in the vicinity of Harbor Rd and Canal Rd","Estuary",41.101733,-73.373833,0,"Interpolation-Satellite","WGS84","CT","WESTPORT",7000,"","","2016-07-12 13:54:00","OBrienClaytonKa","2016-07-12 13:54:00","OBrienClaytonKa"
17723,"Keeler Brook","at West Cedar Street","River/Stream",41.103188,-73.441438,0,"Interpolation-Satellite","WGS84","CT","NORWALK",7401,"","","2011-11-17 11:38:00","BeaucheneM","2011-11-17 11:38:00","BeaucheneM"
20527,"Horseneck Brook, Unnamed tributary to","Within Babcock Preserve off North Street","River/Stream",41.104078,-73.633311,0,"Interpolation-Satellite","WGS84","CT","GREENWICH",7409,"CT7409-00-trib_01","102000550","2021-06-25 07:32:00","LallyMe","2021-12-27 17:18:18","BeckerM"
14291,"Mianus River","June Road","River/Stream",41.1043,-73.5865,24000,"GPS-Unspecified","NAD83","CT","STAMFORD",7407,"CT7407-00_02","","1999-03-02 00:00:00","Unknown","2010-03-12 00:00:00","BeaucheneM"
17724,"Keeler Brook","at Scribner Ave","River/Stream",41.104985,-73.44137,0,"Interpolation-Satellite","WGS84","CT","NORWALK",7401,"","","2011-11-17 11:42:00","BeaucheneM","2011-11-17 11:42:00","BeaucheneM"
18971,"Converse Pond Brook","100m downstream Lake Ave","River/Stream",41.10526,-73.653078,0,"Interpolation-Satellite","WGS84","CT","GREENWICH",7410,"CT7410-02_04","102000543","2015-12-10 09:35:00","LallyMe","2021-12-27 17:18:18","BeckerM"
16587,"Converse Pond Brook","Above Lake Ave","River/Stream",41.1056,-73.6511,24000,"Unknown","NAD83","CT","GREENWICH",7410,"CT7410-02","-99","2009-01-12 00:00:00","BeaucheneM","2021-12-21 14:17:00","BeckerM"
17725,"Keeler Brook","at Ledgebrook Drive","River/Stream",41.106103,-73.440386,0,"Interpolation-Satellite","WGS84","CT","NORWALK",7401,"","","2011-11-17 11:45:00","BeaucheneM","2011-11-17 11:45:00","BeaucheneM"
17726,"Keeler Brook","at Gillies Lane","River/Stream",41.107174,-73.441357,0,"Interpolation-Satellite","WGS84","CT","NORWALK",7401,"","","2011-11-17 11:46:00","BeaucheneM","2011-11-17 11:46:00","BeaucheneM"
17727,"Keeler Brook, pond to","at outlet of the pond","River/Stream",41.107616,-73.439205,0,"Interpolation-Satellite","WGS84","CT","NORWALK",7401,"","","2011-11-17 11:48:00","BeaucheneM","2011-11-17 11:48:00","BeaucheneM"
19358,"Rockwood Lake Reservoir","center of lake","Reservoir",41.108,-73.624,0,"Interpolation-Satellite","WGS84","CT","GREENWICH",7409,"","","2016-11-28 11:53:00","BeaucheneM","2021-11-17 18:20:50","BeckerM"
15482,"King Industries","at Basin outlet","Facility Industrial",41.1081,-73.4115,24000,"Interpolation-Map","NAD83","CT","NORWALK",7300,"INTO_CT****","","2004-05-19 00:00:00","BeaucheneM","2010-03-12 00:00:00","BeaucheneM"
